claim_id,manuscript_section,claim,reported_value,source_file,source_filter_or_row,verification,interpretation_boundary
R3.1a,Results 3.1,Acute EAE cohort estimates for immune activation,"GSE210776 2.90, GSE199460_all 5.30, GSE95401 1.84",results/dataset_module_effects.csv,module=Endothelial_immune_activation; acute EAE contrasts; three meta analysis cohorts,Verified against frozen table,Each animal or independent sample is counted once
R3.1b,Results 3.1,Acute EAE cohort estimates for BBB specialization,"GSE210776 -2.75, GSE199460_all -2.67, GSE95401 -0.82",results/dataset_module_effects.csv,module=BBB_specialization; acute EAE contrasts; three meta analysis cohorts,Verified against frozen table,Each animal or independent sample is counted once
R3.1c,Results 3.1,Acute EAE cohort estimates for vascular structure and extracellular matrix remodeling,"GSE210776 0.80, GSE199460_all 0.18, GSE95401 1.49",results/dataset_module_effects.csv,module=Structural_ECM_remodeling; acute EAE contrasts; three meta analysis cohorts,Verified against frozen table,Each animal or independent sample is counted once
R3.1d,Results 3.1,Random effects result for immune activation,pooled g=2.60; conventional 95% CI 1.14 to 4.06; mKH 95% CI -0.61 to 5.80,results/acute_EAE_random_effects_meta.csv,module=Endothelial_immune_activation,Verified against frozen table,Only three cohorts were available. The direction is more stable than the pooled magnitude
R3.1e,Results 3.1,Random effects result for BBB specialization,pooled g=-1.79; conventional 95% CI -3.12 to -0.46; mKH 95% CI -4.72 to 1.14,results/acute_EAE_random_effects_meta.csv,module=BBB_specialization,Verified against frozen table,Only three cohorts were available. The direction is more stable than the pooled magnitude
R3.1f,Results 3.1,Random effects result for vascular structure and extracellular matrix remodeling,pooled g=0.80; conventional 95% CI -0.21 to 1.80; mKH 95% CI -1.41 to 3.01,results/acute_EAE_random_effects_meta.csv,module=Structural_ECM_remodeling,Verified against frozen table,Only three cohorts were available. The direction is more stable than the pooled magnitude
R3.1g,Results 3.1,Leave one dataset out estimates remained positive,range 2.29 to 3.39,results/acute_EAE_leave_one_dataset_out.csv,module=Endothelial_immune_activation,Verified against frozen table,"Sensitivity analysis supports direction, not a precise population effect"
R3.1h,Results 3.1,Leave one dataset out estimates remained negative,range -2.72 to -1.40,results/acute_EAE_leave_one_dataset_out.csv,module=BBB_specialization,Verified against frozen table,"Sensitivity analysis supports direction, not a precise population effect"
R3.2a,Results 3.2,Inflammatory vascular regions had higher pathway scores than paired periplaque white matter,"JAK-STAT 1.13, NFkB 0.64, TGFb 0.81, TNFa 0.71, VEGF 0.33, WNT 0.30",results/GSE279183_inflammatory_vascular_microenvironment_source_effects.csv,all six pathways; paired analysis in seven donors,Verified against frozen table,Pathway footprints summarize multicellular regions and are not endothelial BBB identity scores
R3.2b,Results 3.2,Barrier related endothelial scores were lower in inflammatory vascular regions than in control white matter,"Tight_junction -0.588, BBB_transport_identity -0.396, Wnt_BBB -1.375",results/GSE279183_inflammatory_vascular_microenvironment_barrier_effects.csv,all three rows,Verified against frozen table,The endothelial abundance adjusted comparison is an association within spatial tissue
R3.3a,Results 3.3,Stress responsive and inflammatory endothelial cells were more frequent in inflammatory vascular regions in each evaluable donor,5 of 5 donors; mean paired difference 0.186; median 0.139; exact P=0.0625,results/GSE284005_paired_summary.csv,feature=Stress/inflammatory endothelial fraction,Verified against frozen table,Five pairs allow a smallest attainable two sided exact P value of 0.0625
R3.3b,Results 3.3,Measured endothelial immune programs varied among MERFISH donors,"Endothelial immune activation -0.107 and 2 of 5 donors higher, Adhesion and trafficking 0.050 and 2 of 5 donors higher, IFN and antigen presentation -0.281 and 2 of 5 donors higher",results/GSE284005_paired_summary.csv,interpretation=prespecified module score,Verified against frozen table,The targeted panel does not support a composite BBB specialization score
R3.4a,Results 3.4,No lesion stage comparison survived false discovery rate correction,minimum FDR=0.275,results/GSE208747_stage_locked_modules_q30_ECadj.csv,threshold=q30; endothelial abundance adjusted module scores,Verified against frozen table,Lesion groups are cross sectional and comparisons are exploratory
R3.5a,Results 3.5,Gene effects in acute EAE and chronic active MS showed weak overall agreement,"n=11,633; rho=0.197; 95% CI 0.180 to 0.215; same direction 57.6%",results/cross_species_concordance_summary.csv,gene_set=All_common_genes_sensitivity,Verified against frozen table,Genes are correlated and are not biological replicates
